Sl. No.,Patent Application No.,Status of Patent (Published / Granted),Inventor/s Name,Title of the Patent,Applicant/s Name,Patent Filed Date (DD/MM/YYYY) ,Patent Published Date / Granted Date (DD/MM/YYYY),Patent Publication Number / Patent Granted Number,Assignee/s Name (Institute Affiliation/s at time of Appication),"Here, attach Source Proof Screenshots/URL/ Website Links, etc.",,Department,Country,MAapping  with SDG,Link of SDG Document,,,,,,,,,,,,,,,,,,
238,2023/08624,Published,"DASHPUTRE, Amey Satish; SHENOY, Vignesh Sheshagiri; DESHMUKH, Chaitanya Dilip",A GEOLOGICAL CRACK HAMMER WITH PICK ACCESSORY,"DR.VISHWANATH KARAD MIT WORLD PEACE UNIVERSITY; DASHPUTRE, Amey Satish; SHENOY, Vignesh Sheshagir; DESHMUKH, Chaitanya Dilip",9/8/2023,NA,2023/08624,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1fVZYbeef5c03ElMImgI2qhVbWCEQxAh0/view?usp=sharing,https://iponline.cipc.co.za/Account/Login.aspx?pb=aVMvEDtYJoBv4STTqmvCTpb7MWDx2eY0ESHMO1dLY8+DkrV5ADDUPw==,Petroleum Engineering,South Africa,"9,12,8,4,11",https://docs.google.com/document/d/1TULXUgex8HheKBIJ6DQg84I-oDzr6hYN/edit?usp=drive_link&ouid=107653910869487429344&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
239,2023/10960,Published,"KUKADE, Shweta;  ZODPE, Harshali; KUMAWAT, Manisha",AN UPLINK SCHEDULING SYSTEM TO ENHANCE SPECTRAL EFFICIENCY OF 5G NETWORK,"DR. VISHWANATH KARAD MIT WORLD PEACE UNIVERSITY; KUKADE, Shweta; ZODPE, Harshali; KUMAWAT, Manisha",11/28/2023,NA,2023/10960,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1ZusBr933T5M4rFbIg7e4-JucLGMMmaPW/view?usp=sharing,https://iponline.cipc.co.za/Account/Login.aspx?pb=aVMvEDtYJoBv4STTqmvCTpb7MWDx2eY0ESHMO1dLY8+DkrV5ADDUPw==,Electrical and Electronics Engineering,South Africa,"9,11,12,8,4,18",https://docs.google.com/document/d/1Vfy4AOUJS-fmgYa2uN9JspzG5zaywhnc/edit?usp=drive_link&ouid=107653910869487429344&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
240,2023/09085,Published,"WADGAONKAR, Vinayak S; KHURPADE, Pratiksha; TATPATE, Pallavi; BHATKAR, Siraj; SHENOY, Vignesh; ",A PROCESS FOR REMOVAL OF CR (VI) FROM WATER USING LIMA BEAN HUSK DERIVED ADSORBENT,"DR. VISHWANATH KARAD MIT WORLD PEACE UNIVERSITY; WADGAONKAR, Vinayak S.; KHURPADE, Pratiksha; TATPATE, Pallavi; BHATKAR, Siraj; SHENOY, Vignesh",9/27/2023,NA,2023/09085,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1vfG8i8oppjKF6P-jfuHZ6GqQ03lnaIVX/view?usp=sharing,https://iponline.cipc.co.za/Account/Login.aspx?pb=aVMvEDtYJoBv4STTqmvCTpb7MWDx2eY0ESHMO1dLY8+DkrV5ADDUPw==,Petroleum Engineering,South Africa,"6,12,13,15",https://docs.google.com/document/d/1Lk0umKn4C3caeealBxnW8jsj11vwvm4F/edit?usp=drive_link&ouid=107653910869487429344&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
241,2023/09087,Published,"HIWALE, Anil S.; NARKHEDE, Gaurav G.; PATIL, Abhishek; SHENDKAR, Mayuresh; CHOPDA, Chirag",A SOLAR POWERED ELECTRIC VEHICLE ENHANCEMENT SYSTEM,"DR. VISHWANATH KARAD MIT WORLD PEACE UNIVERSITY; HIWALE, Anil S.; NARKHEDE, Gaurav G.; PATIL, Abhishek; SHENDKAR, Mayuresh; CHOPDA, Chirag",9/27/2023,NA,2023/09087,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1wyu-mlVKIU7Vc22yi1WTTkPnmHNfJsfe/view?usp=sharing,https://iponline.cipc.co.za/Account/Login.aspx?pb=aVMvEDtYJoBv4STTqmvCTpb7MWDx2eY0ESHMO1dLY8+DkrV5ADDUPw==,Computer Engineering & Technology,South Africa,"7,9,11,13,3",https://docs.google.com/document/d/1vPaSQ8MJ-PNpyfEDOUoJBHLq0V4j_hj8/edit?usp=drive_link&ouid=107653910869487429344&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
242,2023/09086,Published,"YADHAV, Adinath D.; MINDE, Pravin; SAOJI, Atharva",A PRECAST SINGLE TEE GIRDER WITH GLASS FIBER REINFORCED POLYMER IN BRIDGE CONSTRUCTION,"DR. VISHWANATH KARAD MIT WORLD PEACE UNIVERSITY; YADHAV, Adinath D.; MINDE, Pravin; SAOJI, Atharva",9/27/2023,NA,2023/09086,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/11A6r8FjsuU8wH576o5T8qjx7V4e7_N0y/view?usp=sharing,https://iponline.cipc.co.za/Account/Login.aspx?pb=aVMvEDtYJoBv4STTqmvCTpb7MWDx2eY0ESHMO1dLY8+DkrV5ADDUPw==,Civil Engineering,South Africa,"9,11,13,12",https://docs.google.com/document/d/1DVTXXAkHsXErtJ6Nyzus6aN9t_PIkwC7/edit?usp=drive_link&ouid=107653910869487429344&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
243,2023/09137,Published,"CHAVAN, Hrishikesh; PATIL, Nishant; GUPTA, Pratush; LINGAM, Devashree; MANDYAL, Rashi; SINHARAY, Rajib K",A MACHINE LEARNING MODEL FOR LITHOLOGY PREDICTION USING WELL LOGS AND DRILLING DATA,"DR. VISHWANATH KARAD MIT WORLD PEACE UNIVERSITY; CHAVAN, Hrishikesh; PATIL, Nishant; GUPTA, Pratush; LINGAM, Devashree; MANDYAL, Rashi; SINHARAY, Rajib K.",9/28/2023,NA,2023/09137,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1tjjTtQ0rwTOq0YITEcswA8dOdfbAI3Vi/view?usp=sharing,https://iponline.cipc.co.za/Account/Login.aspx?pb=aVMvEDtYJoBv4STTqmvCTpb7MWDx2eY0ESHMO1dLY8+DkrV5ADDUPw==,Petroleum Engineering,South Africa,"9,7,13,12",https://docs.google.com/document/d/15MS6WbYZYLLjOJ3SpCUNNBEd3QG3YXAq/edit?usp=drive_link&ouid=107653910869487429344&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
244,2023/08627,Published,"PANDE,Milind Sudhakar; BEDEKAR, Mangesh Vilas; VISHWARUPE,Varad Vivek; HANKEY,Alexander; ZAHOOR, Saniya; PATIL,Avinash Prakash",AN INTELLIGENT INTERACTIVE SYSTEM FOR ANALYZING ONLINE NEWS ARTICLES,"DR.VISHWANATH KARAD MIT WORLD PEACE UNIVERSITY; PANDE,Milind Sudhakar; BEDEKAR, Mangesh Vilas; VISHWARUPE,Varad Vivek; HANKEY,Alexander; ZAHOOR, Saniya; PATIL,Avinash Prakash",9/8/2023,NA,2023/08627,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1IuM4BiinixBrKyjiToWa6jq9pZSTtoVN/view?usp=sharing,https://iponline.cipc.co.za/Account/Login.aspx?pb=aVMvEDtYJoBv4STTqmvCTpb7MWDx2eY0ESHMO1dLY8+DkrV5ADDUPw==,Computer Engineering & Technology,South Africa,"4,9,10,16,12,17",https://docs.google.com/document/d/12L7lD_8j-HTMgi_XIB1wJBfDBzc3z0Uh/edit?usp=drive_link&ouid=107653910869487429344&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
245,2023/10961,Published,"RAZDAN, Surbhi; KARKALE, Pranay Pramod; BHATE, Hardik; AAHER, Shruti; AAGRE, Rugved; BANSAL, Gaurav; POKALE, Atharva",A BAMBOO MOISTURE CHAMBER,"DR. VISHWANATH KARAD MIT WORLD PEACE UNIVERSITY; RAZDAN, Surbhi; KARKALE, Pranay Pramod; BHATE, Hardik; AAHER, Shruti; AAGRE, Rugved; BANSAL, Gaurav; POKALE, Atharva",11/28/2023,NA,2023/10961,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1ZqtS88RC2rmsq_43GbVs-jgVR8_frllO/view?usp=sharing,https://iponline.cipc.co.za/Account/Login.aspx?pb=aVMvEDtYJoBv4STTqmvCTpb7MWDx2eY0ESHMO1dLY8+DkrV5ADDUPw==,Mechanical Engineering,South Africa,"9,12,13,15,6,8",https://docs.google.com/document/d/1Mrco3hekWKVDWyqDhdZOHev_GVb426nt/edit?usp=drive_link&ouid=107653910869487429344&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
246,2023/10962,Published,"LOKHANDE, Netra M., AHIRRAO, Shripad; SHARMA, Abhishek Kumar; PRAKASH, Ravi; DHAMALE, Sharvari; SHAIKH, Moeez",A SYSTEM FOR SURVEILLANCE ENHANCEMENT AND CONTROL DISPLAY USING MACHINE LEARNING FOR TRAFFIC VIOLATION,"DR. VISHWANATH KARAD MIT WORLD PEACE UNIVERSITY; LOKHANDE, Netra M.; AHIRRAO, Shripad; SHARMA, Abhishek Kumar; PRAKASH, Ravi; DHAMALE, Sharvari; SHAIKH, Moeez",11/28/2023,NA,2023/10962,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1Rj9602Pbp7Y7F9PDC8GeqFg2BhnEl27V/view?usp=sharing,https://iponline.cipc.co.za/Account/Login.aspx?pb=aVMvEDtYJoBv4STTqmvCTpb7MWDx2eY0ESHMO1dLY8+DkrV5ADDUPw==,Electrical and Electronics Engineering,South Africa,"9,11,16,3,12,17",https://docs.google.com/document/d/1CnBSVj1buetCAdWYokmcuNarYRV9vOQj/edit?usp=drive_link&ouid=107653910869487429344&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
247,2023/09139,Published,"JOSHI, Ratnadip R.",A SUSTAINED RELEASE GREEN SMART BIO FERTILIZER PELLET,"DR. VISHWANATH KARAD MIT WORLD PEACE UNIVERSITY; JOSHI, Ratnadip R.",9/28/2023,NA,2023/09139,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/drive/folders/1ZSKbWh1O0qY_sZOe5y7uLtwWQBpTSppj?usp=sharing,https://iponline.cipc.co.za/Account/Login.aspx?pb=aVMvEDtYJoBv4STTqmvCTpb7MWDx2eY0ESHMO1dLY8+DkrV5ADDUPw==,Chemical Engineering,South Africa,"2,12,13,6,15,8,1,17",https://docs.google.com/document/d/152kFaeNGcvkfGJEkUk1QlMgkXbi4kaqS/edit?usp=drive_link&ouid=107653910869487429344&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
248,2023/09235,Published,"RANE, Rashmi Ashwinikumar; SABU, Nidhi; UTTAM, Sanket; SHIRBHATE, Venkatesh Dilip; CHAUDHARI, Keyur Sunit; DESHPANDE, Kalyani Prashant",A SYSTEM FOR EVALUATING AND RANKING CANDIDATE RESUMES,"DR. VISHWANATH KARAD MIT WORLD PEACE UNIVERSITY; RANE, Rashmi Ashwinikumar; SABU, Nidhi; UTTAM, Sanket; SHIRBHATE, Venkatesh Dilip; CHAUDHARI, Keyur Sunit; DESHPANDE, Kalyani Prashant",10/3/2023,NA,2023/09235,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1V_GpJGo3b7m1ymPOCpywoY_SbrKD472r/view?usp=sharing,https://iponline.cipc.co.za/Account/Login.aspx?pb=aVMvEDtYJoBv4STTqmvCTpb7MWDx2eY0ESHMO1dLY8+DkrV5ADDUPw==,Computer Engineering & Technology,South Africa,"8,10,9,4,17,5",https://docs.google.com/document/d/1s_yxUkjUjhjhZ2ltf23IM_IDxCnzzJ8x/edit?usp=drive_link&ouid=107653910869487429344&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
249,2023/09236,Published,"WAGHMARE, Pratap; THOTE, Abhishek M.",A SOFT UNDERWATER MULTIARMED ROBOTIC GRIPPER,"DR. VISHWANATH KARAD MIT WORLD PEACE UNIVERSITY; WAGHMARE, Pratap; THOTE, Abhishek M.",10/3/2023,NA,2023/09236,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1A0Q-EDve61CqmrA8F4FheLFe-Du6-iy6/view?usp=sharing,https://iponline.cipc.co.za/Account/Login.aspx?pb=aVMvEDtYJoBv4STTqmvCTpb7MWDx2eY0ESHMO1dLY8+DkrV5ADDUPw==,Mechanical Engineering,South Africa,"14,9,15,3,6,17",https://docs.google.com/document/d/1yJPTO1iVBcKeLBrZl2rlBXHUOm4EkL1M/edit?usp=drive_link&ouid=107653910869487429344&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
250,2023/09237,Published,"PATEL, Hitik; KULKARNI, Kaustubh Ganesh; TAMHANKAR, Neel; HAVALDAR, Sanjay Narayan",A WATER CLEANING BOAT,"DR. VISHWANATH KARAD MIT WORLD PEACE UNIVERSITY; PATEL, Hitik; KULKARNI, Kaustubh Ganesh; TAMHANKAR, Neel; HAVALDAR, Sanjay Narayan",10/3/2023,NA,2023/09237,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1vrvsyzf-4pw8VdSUgbheFibvcHloMuIL/view?usp=sharing,https://iponline.cipc.co.za/Account/Login.aspx?pb=aVMvEDtYJoBv4STTqmvCTpb7MWDx2eY0ESHMO1dLY8+DkrV5ADDUPw==,Mechanical Engineering,South Africa,"14,12,13,11,6,17,14.1",https://docs.google.com/document/d/1XIktOObfQg2WmWf8uU80TJZMOB6HHZzk/edit?usp=drive_link&ouid=107653910869487429344&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
251,2023/09138,Published,"WADGAONKAR, Vinayak S.; KHURPADE, Pratiksha; TATPATE, Pallav; BHATKAR, Siraj; SHENOY, Vignesh",A METAL ION ADSORBENT FOR COPER (II) REMOVAL FROM RED GRAM HUSK,"DR. VISHWANATH KARAD MIT WORLD PEACE UNIVERSITY; WADGAONKAR, Vinayak S.; KHURPADE, Pratiksha; TATPATE, Pallavi; BHATKAR, Siraj; SHENOY, Vignesh",9/28/2023,NA,2023/09138,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1NEZa_Yn_QWoRexSztHuUlWT9HDY7ZdPQ/view?usp=sharing,https://iponline.cipc.co.za/Account/Login.aspx?pb=aVMvEDtYJoBv4STTqmvCTpb7MWDx2eY0ESHMO1dLY8+DkrV5ADDUPw==,Petroleum Engineering,South Africa,"6,12,15,9,13,8,14,17",https://docs.google.com/document/d/1t4NGxq169R-dk5rMU5ZxGg4YJYqGFEDt/edit?usp=drive_link&ouid=107653910869487429344&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
252,202311010179,Published,"Dr. Charu Jain, Dr. Namit Pathak, Dr. Mukesh Kumar, Dr. Shuchi Gupta, Dr. Gurjinder Singh, Dr. Veeresh S J, Er Navneet Thakur, Dr Renuka Snehal Nifadkar, Dr T N Anitha, Dr Jayasudha K",EFFICIENT ANALYSIS OF POTENTIAL HEALTH AND ENVIRONMENTAL HEALTH RISKS ASSOCIATED WITH 6G WIRELESS COMMUNICATION NETW,"Dr. Charu Jain, Dr. Namit Pathak, Dr. Mukesh Kumar, Dr. Shuchi Gupta, Dr. Gurjinder Singh, Dr. Veeresh S J, Er Navneet Thakur, Dr Renuka Snehal Nifadkar, Dr T N Anitha, Dr Jayasudha K",2/15/2023,3/17/2023,11/2023,"Dr. Charu Jain, Dr. Namit Pathak, Dr. Mukesh Kumar, Dr. Shuchi Gupta, Dr. Gurjinder Singh, Dr. Veeresh S J, Er Navneet Thakur, Dr Renuka Snehal Nifadkar, Dr T N Anitha, Dr Jayasudha K",https://drive.google.com/file/d/1gVNR1Sf-ghQ2APDo9rzGv7kZRwyTle_A/view?usp=sharing,https://iprsearch.ipindia.gov.in/PublicSearch/,School of Business,India,,,,,,,,,,,,,,,,,,,,
253,202311030246,Published,"Dr. Ashutosh Dwivedi, Prof. Niraj B Mokale, Dr. Renuka Deshmukh, Dr. Anurag Shrivastava, Amit Shrivastava",CONCEPTUAL FRAMEWORK OF ARTIFICIAL INTELLIGENCE IN HUMAN RESOURCE MANAGEMENT,"Dr. Ashutosh Dwivedi, Prof. Niraj B Mokale, Dr. Renuka Deshmukh, Dr. Anurag Shrivastava, Amit Shrivastava",4/27/2023,5/26/2023,21/2023,"Dr. Ashutosh Dwivedi, Prof. Niraj B Mokale, Dr. Renuka Deshmukh, Dr. Anurag Shrivastava, Amit Shrivastava",https://drive.google.com/file/d/1dHCtyJ9-v5p6GVeJf_osG_Sc53CegxSm/view?usp=sharing,https://iprsearch.ipindia.gov.in/PublicSearch/,School of Business,India,,,,,,,,,,,,,,,,,,,,
254,202321013317,Published,"Dr. Sunita Jatav, Prof. Sonal Muluk, Dr. Rohini Sawalkar, Dr. Neelam Raut, Dr. Vimal Deep Saxena, Prof. Dr. P. SrinivasSubbarao, Mr. Kamala Kanta Dash",METHOD FOR SUSTAINABLE DEVELOPMENT OF CITIES,"Dr. Sunita Jatav, Prof. Sonal Muluk, Dr. Rohini Sawalkar, Dr. Neelam Raut, Dr. Vimal Deep Saxena, Prof. Dr. P. SrinivasSubbarao, Mr. Kamala Kanta Dash",2/28/2023,3/17/2023,11/2023,"Dr. Sunita Jatav, Prof. Sonal Muluk, Dr. Rohini Sawalkar, Dr. Neelam Raut, Dr. Vimal Deep Saxena, Prof. Dr. P. SrinivasSubbarao, Mr. Kamala Kanta Dash",https://drive.google.com/file/d/1RnoAgCLCcC0HggJ6sM-G82b6hSy6wbo3/view?usp=sharing,https://iprsearch.ipindia.gov.in/PublicSearch/,School of Business,India,,,,,,,,,,,,,,,,,,,,
255,202321028564,Published,Dr Renuka SnehalNifadkar,IOT BASED SMART AND CONTROLLABLE WHEELCHAIR FALL DETECTION FOR PHYSICALLY CHALLENGED PEOPLE,Dr Renuka SnehalNifadkar,4/19/2023,6/2/2023,22/2023,Dr Renuka SnehalNifadkar,https://drive.google.com/file/d/1pkmLvKB4HKkmAlUs9abxLyATX1q7C8t5/view?usp=sharing,https://iprsearch.ipindia.gov.in/PublicSearch/,School of Business,India,,,,,,,,,,,,,,,,,,,,
256,202321032299,Published,"Dr. Ameya Anil Patil, Dr. Rajeev Sengupta",WELLNESS WATCHER: SMART ALARMING MEDICINE BOTTLE,"Dr. Ameya Anil Patil, Dr. Rajeev Sengupta",08/05/2023,16/06/2023,24/2023,"Dr. Ameya Anil Patil, Dr. Rajeev Sengupta",https://drive.google.com/file/d/1Khj-iH4WH3o53dPdLWK3KQDR3EztdLb_/view?usp=sharing,https://iprsearch.ipindia.gov.in/PublicSearch/,School of Business,India,,,,,,,,,,,,,,,,,,,,
257,202321034651,Published,"Dr. Gautam Surendra Bapat, Dr. Shruti Nigudkar",UNIQUE IMPACT CLEANING FOR REUSABLE SANITARY PADS,"Dr. Gautam Surendra Bapat, Dr. Shruti Nigudkar",17/05/2023,16/06/2023,24/2023,"Dr. Gautam Surendra Bapat, Dr. Shruti Nigudkar",https://drive.google.com/file/d/1vtCrE43BOg0hz_0XvRtDGbCsyfUJuREP/view?usp=sharing,https://iprsearch.ipindia.gov.in/PublicSearch/,School of Business,India,,,,,,,,,,,,,,,,,,,,
258,202321036546,Published,"Prof. P. SrinivasSubbarao, Dr.Sunita Jatav, Dr. Gauatm SurendraBapat, Dr. Anjali Sane, Dr. Renuka SnehalNifadkar, Dr. Rajesh. P. Jawajala",A SYSTEM AND METHOD FOR MANAGING AND ACCESSING DIGITAL CONTENT,"Prof. P. SrinivasSubbarao, Dr.Sunita Jatav, Dr. Gauatm SurendraBapat, Dr. Anjali Sane, Dr. Renuka SnehalNifadkar, Dr. Rajesh. P. Jawajala",26/05/2023,8/11/2023,32/2023,"Prof. P. SrinivasSubbarao, Dr.Sunita Jatav, Dr. Gauatm SurendraBapat, Dr. Anjali Sane, Dr. Renuka SnehalNifadkar, Dr. Rajesh. P. Jawajala",https://drive.google.com/file/d/1s2ExRG79KMGb7EDGiOFQ_4jLKpZskzsk/view?usp=sharing,https://iprsearch.ipindia.gov.in/PublicSearch/,School of Business,India,,,,,,,,,,,,,,,,,,,,
259,202321044156,Published,Dr Renuka Deshmukh,"THE CHALLENGES, CONCEPTS, PROCESS AND METHODS OF SOCIAL IMPACT ASSESSMENT OF SOCIOLOGY",Dr Renuka Deshmukh,30/06/2023,24/11/2023,47/2023,Dr Renuka Deshmukh,https://drive.google.com/file/d/12kUJDu4TxRNqLXiKs3-_MTviULRBlqLJ/view?usp=sharing,https://iprsearch.ipindia.gov.in/PublicSearch/,School of Business,India,,,,,,,,,,,,,,,,,,,,
260,202321046487,Published,DR. P. MATHURASWAMY,DIGITAL BANKING SYSTEM WITH FACIAL RECOGNITION AND LIVENESS DETECTION,DR. P. MATHURASWAMY,11/07/2023,22/09/2023,38/2023,DR. P. MATHURASWAMY,https://drive.google.com/file/d/12wbsRz_FK9dgQzRm3aSYLzLuu060NzJh/view?usp=sharing,https://iprsearch.ipindia.gov.in/PublicSearch/,School of Business,India,,,,,,,,,,,,,,,,,,,,
261,202321072435,Published,Dr. Renuka Deshmukh,CHALLENGES AND IMPACT OF FINANCIAL MANAGEMENT PRACTICES ON THE DEVELOPMENT OF SMALL-TO-MEDIUM SIZE ENTERPRISES,Dr. Renuka Deshmukh,23/10/2023,24/11/2023,47/2023,Dr. Renuka Deshmukh,https://drive.google.com/file/d/1gpKPyCZKlVi1uVuUdlPRVEhgqD__PAzB/view?usp=sharing,https://iprsearch.ipindia.gov.in/PublicSearch/,School of Business,India,,,,,,,,,,,,,,,,,,,,
262,202331058300,Published,Dr. Mohsin Shaikh,ENHANCING LONG-TERM BUSINESS SUSTAINABILITY BY EXPLORING THE SUCCESS AND FAILURE FACTORS OF MOBILE INFORMATION TECHNSERVICES,Dr. Mohsin Shaikh,30/08/2023,13/10/2023,41/2023,Dr. Mohsin Shaikh,https://drive.google.com/file/d/1JYx4QodivQvnp28KH_GyCY79ffH-eWdh/view?usp=sharing,https://iprsearch.ipindia.gov.in/PublicSearch/,School of Business,India,,,,,,,,,,,,,,,,,,,,
263,202341005583,Published,Dr Renuka SnehalNifadkar,Effi cient and Optimized Development of the Eco-Friendly and sustainability based data centers,Dr Renuka SnehalNifadkar,27/01/2023,24/02/2023,08/2023,Dr Renuka SnehalNifadkar,https://drive.google.com/file/d/1vypH_SBD8B8JYuU6MTG_0x3aUlBPxtHY/view?usp=sharing,https://iprsearch.ipindia.gov.in/PublicSearch/,School of Business,India,,,,,,,,,,,,,,,,,,,,
264,202341058287,Published,Dr. RenukaDeshmukh,"ROLE OF COMMERCE EDUCATION CHALLENGES, IMPACT AND ROLE IN THE ECONOMIC DEVELOPMENT OF INDIA",Dr. RenukaDeshmukh,30/08/2023,08/09/2023,36/2023,Dr. RenukaDeshmukh,https://drive.google.com/file/d/1is7cPIAQSi4GUP4ASSl0uTkjaUKuhyus/view?usp=sharing,https://iprsearch.ipindia.gov.in/PublicSearch/,School of Business,India,,,,,,,,,,,,,,,,,,,,
265, 202341036784,Published,Dr. P. Mathuraswamy,BLOCK CHAIN BASED METHOD FOR REDUCING VEHICLE POLLUTANT EMISSIONS,Dr. P. Mathuraswamy,27/05/2023,1/09/2023,35/2023,Dr. P. Mathuraswamy,https://drive.google.com/file/d/1N1eQjaEHn4q0irNP_7OOxJi7SWNQRkbF/view?usp=sharing,https://iprsearch.ipindia.gov.in/PublicSearch/,School of Business,India,,,,,,,,,,,,,,,,,,,,
266,202341041438,Published,Dr. RenukaDeshmukh,"ENVIRONMENTALLY GREEN MANAGEMENT AND SUSTAINABLE BUSINESS PRACTICES IN MICRO, SMALL, AND MEDIUM ENTERPRISE BUSINES",Dr. RenukaDeshmukh,19/06/2023,18/08/2023,33/2023,Dr. RenukaDeshmukh,https://drive.google.com/file/d/1ILxl_TVoM-iBlFe0glA9tHZqcI8056Eo/view?usp=sharing,https://iprsearch.ipindia.gov.in/PublicSearch/,School of Business,India,,,,,,,,,,,,,,,,,,,,
267,202221077259,Published,Dr RenukaSnehalNifadkar,"FUTURE EVOLUTION OF ARTIFICIAL INTELLIGENCE ENABLED INTERNET OF THINGS IN FINANCE AND ECONOMIC INDUSTRY, AGRICULTUREINNOVATION AND FOOD INDUSTRY",Dr RenukaSnehalNifadkar,12/30/2022,1/13/2023,02/2023,Dr RenukaSnehalNifadkar,https://drive.google.com/file/d/1rEPuJUF_OKVGjhpBdMEs9NwNLOVvBsts/view?usp=sharing,https://iprsearch.ipindia.gov.in/PublicSearch/,School of Business,India,,,,,,,,,,,,,,,,,,,,
2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,202121032629,Granted,"Nitinkumar Raghunath Anekar, Amit Chandrakant Nemade, Kushal Khandelwal",TEST RIG FOR MEASURING TRANSMISSIBILITY RATIO OF SHOCK ABSORBER,"Dr. Vishwanath Karad MIT World PeaceUniversity, Nitinkumar Raghunath Anekar",7/20/2021,11/21/2024,554691,Dr. Vishwanath Karad MIT World Peace University,https://drive.google.com/drive/folders/1feaqB14QWvUGsP-lr0bWZjALSZaMRnFe?usp=sharing,https://ipindiaservices.gov.in/publicsearch,Mechanical Engineering,India,"9,12,11,13",https://docs.google.com/document/d/1zkYazxvrK5Afhu3_ACMBYGKB4eOZZnCT/edit?usp=drive_link&ouid=111632857619699904887&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
269,202121023255,Granted,"Nabharun Niloy Bhattacharya, Garv Sethi, Vinit Ritesh Oswal, Dr. Anita Nene",CONDUCTING LIQUID VORTEX DC MOTOR,Dr. Vishwanath Karad MIT World Peace University,5/25/2021,12/2/2024,555670,Dr. Vishwanath Karad MIT World Peace University,https://drive.google.com/drive/folders/1AafaAsGtyUciepqqXBuem0ggqaQv7O8f?usp=sharing,https://ipindiaservices.gov.in/publicsearch,Mechanical Engineering,India,"7,9,12,13,11",https://docs.google.com/document/d/1bKMSpwEu_JIyt6KszKpHTBJck6klvrvU/edit?usp=drive_link&ouid=111632857619699904887&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
270,201721009049,Granted,"Puskaraj D Sonawwanay, Dr. V. K. Bupesh Raja",PORTABLE SOLAR WELDING KIT,"Puskaraj D Sonawwanay, Dr. V. K. Bupesh Raja",3/16/2017,2/7/2024,508274,Dr. Vishwanath Karad MIT World Peace University,https://drive.google.com/drive/folders/18EsHmdr7_Fe4DgVZBenrySnGR_bO2V1H?usp=sharing,https://ipindiaservices.gov.in/publicsearch,Mechanical Engineering,India,"7,9,13",https://docs.google.com/document/d/1GLPJuNDvvQg9_Y07LfpNa72sX0hSE0a8/edit?usp=drive_link&ouid=111632857619699904887&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
